name,university,cutOffMark,popularity,type,location,description,duration
Grado en Ciencia y Tecnología de los Alimentos,Universidad de Zaragoza,6.590,70,Carrera Universitaria,Zaragoza,Formación integral en ciencia y tecnología de los alimentos con énfasis en la producción y seguridad alimentaria.,4 años
Grado en Ciencia y Tecnología de los Alimentos,Universidad Autónoma de Madrid,7.158,75,Carrera Universitaria,Madrid,Programa que combina conocimientos en biotecnología ingeniería y gestión de la calidad en el ámbito alimentario.,4 años
Grado en Ciencia y Tecnología de los Alimentos,Universidad Complutense de Madrid,5.890,80,Carrera Universitaria,Madrid,Enfoque multidisciplinario en la producción y seguridad alimentaria con oportunidades de prácticas profesionales.,4 años
Grado en Ciencia y Tecnología de los Alimentos,Universidad de Granada,11.660,85,Carrera Universitaria,Granada,Formación en biotecnología ingeniería y gestión de la calidad en el sector alimentario.,4 años
Grado en Ciencia y Tecnología de los Alimentos,Universidad de Barcelona,6.566,80,Carrera Universitaria,Barcelona,Programa que ofrece una preparación completa en ciencia y tecnología de los alimentos con énfasis en la seguridad alimentaria.,4 años
Grado en Ciencia y Tecnología Geográficas,Universidad de Murcia,5.407,70,Carrera Universitaria,Murcia,Formación en geografía con énfasis en el uso de TIG para el análisis y gestión del territorio.,4 años
Grado en Ciencia y Tecnología Geográficas,Universidad de Barcelona,6.000,75,Carrera Universitaria,Barcelona,Programa que combina estudios geográficos con herramientas tecnológicas para el análisis territorial.,4 años
Grado en Ciencia y Tecnología Geográficas,Universidad Autónoma de Madrid,6.500,80,Carrera Universitaria,Madrid,Enfoque en el uso de TIG para el estudio y gestión de procesos territoriales.,4 años
Grado en Ciencia y Tecnología Geográficas,Universidad de Valencia,6.200,70,Carrera Universitaria,Valencia,Formación en geografía y tecnologías aplicadas al análisis territorial.,4 años
Grado en Ciencia y Tecnología Geográficas,Universidad de Sevilla,6.300,75,Carrera Universitaria,Sevilla,Programa que integra estudios geográficos con herramientas tecnológicas para la gestión del territorio.,4 años
Grado en Ciencia Gestión e Ingeniería de Servicios,Universidad Politécnica de Valencia,7.500,80,Carrera Universitaria,Valencia,Formación en ingeniería y gestión de servicios enfocada en la mejora continua y la innovación.,4 años
Grado en Ciencia Gestión e Ingeniería de Servicios,Universidad de Zaragoza,7.200,75,Carrera Universitaria,Zaragoza,Programa que combina ingeniería gestión y ciencias sociales para la mejora de servicios.,4 años
Grado en Ciencia Gestión e Ingeniería de Servicios,Universidad de Barcelona,7.800,85,Carrera Universitaria,Barcelona,Enfoque multidisciplinario en el diseño y gestión de servicios en diversos sectores.,4 años
Grado en Ciencia Gestión e Ingeniería de Servicios,Universidad Autónoma de Madrid,7.600,80,Carrera Universitaria,Madrid,Formación integral en ingeniería y gestión de servicios con énfasis en la innovación.,4 años
Grado en Ciencia Gestión e Ingeniería de Servicios,Universidad de Valencia,7.400,75,Carrera Universitaria,Valencia,Programa orientado a la mejora continua y la gestión eficiente de servicios.,4 años
Grado en Ciencia Tecnología y Humanidades,Universidad Politécnica de Valencia,7.000,75,Carrera Universitaria,Valencia,Formación interdisciplinaria que integra ciencias tecnología y humanidades para abordar problemas complejos.,4 años
Grado en Ciencia Tecnología y Humanidades,Universidad de Zaragoza,6.800,70,Carrera Universitaria,Zaragoza,Programa que combina conocimientos científicos tecnológicos y humanísticos en un solo plan de estudios.,4 años
Grado en Ciencia Tecnología y Humanidades,Universidad de Barcelona,7.200,80,Carrera Universitaria,Barcelona,Enfoque multidisciplinario en la integración de ciencias tecnología y humanidades.,4 años
Grado en Ciencia Tecnología y Humanidades,Universidad Autónoma de Madrid,7.400,85,Carrera Universitaria,Madrid,Formación integral en ciencias tecnología y humanidades con énfasis en la innovación.,4 años
Grado en Ciencia Tecnología y Humanidades,Universidad de Valencia,7.600,75,Carrera Universitaria,Valencia,Programa orientado a la integración de conocimientos científicos tecnológicos y humanísticos.,4 años
Grado en Ciencias,Universidad Autónoma de Madrid (UAM),7.500,80,Carrera Universitaria,Madrid,Formación multidisciplinaria en Física y Química y Biología y Matemáticas con énfasis en la investigación y la enseñanza científica.,4 años
Grado en Ciencias,Universidad Carlos III de Madrid (UC3M),7.200,75,Carrera Universitaria,Madrid,Programa que ofrece una sólida base en ciencias experimentales y matemáticas preparando a los estudiantes para la investigación y la divulgación científica.,4 años
Grado en Ciencias,Universitat Autònoma de Barcelona (UAB),7.800,85,Carrera Universitaria,Barcelona,Enfoque multidisciplinario en ciencias experimentales y matemáticas con oportunidades de investigación y colaboración internacional.,4 años
Máster Universitario en Antropología Física: Evolución y Biodiversidad Humanas,Universidad Autónoma de Madrid (UAM),0,80,Master,Madrid,Programa que profundiza en la evolución humana y la biodiversidad combinando aspectos de la biología y la antropología.,1 año
Máster Universitario en Biodiversidad,Universidad Autónoma de Madrid (UAM),0,85,Master,Madrid,Enfoque en la conservación y gestión de la biodiversidad con énfasis en la investigación y la aplicación de tecnologías avanzadas.,1 año
Máster Universitario en Biomedicina Molecular,Universidad Autónoma de Madrid (UAM),0,90,Master,Madrid,Formación avanzada en biomedicina centrada en la investigación molecular y celular aplicada a la salud.,1 año
