name,university,cutOffMark,popularity,type,location,description,duration
Grado en Dirección de Empresas Tecnológicas,La Salle - URL,0,85,Carrera Universitaria,Barcelona,"Formación integral en administración de empresas con enfoque en tecnología, innovación y emprendimiento. Modalidad presencial con duración de 4 años. ",4 años
Grado en Empresa y Tecnología,Universidad Carlos III de Madrid (UC3M),0,90,Carrera Universitaria,Madrid,"Grado multidisciplinar que incorpora enfoques tecnológicos en disciplinas de gestión empresarial, incluyendo el uso de herramientas como SAP. Modalidad presencial y duración de 4 años. ",4 años
Grado en Empresa y Tecnología,Universidade de Santiago de Compostela (USC),0,80,Carrera Universitaria,Santiago de Compostela,"Programa que combina formación en gestión empresarial con conocimientos en tecnología, preparando a los estudiantes para gestionar la innovación en las empresas. Modalidad presencial y duración de 4 años. ",4 años
Grado en Gestión y Administración Pública,Universidad de Zaragoza,0,80,Carrera Universitaria,Zaragoza,"Ofrece una formación multidisciplinar en gestión pública, con modalidades presencial y virtual. El próximo curso académico 2025/2026 contará con 6 nuevas plazas en Huesca. "
Grado en Gestión y Administración Pública,Universidad de Sevilla,0,85,Carrera Universitaria,Sevilla,"Programa centrado en la formación de cuerpos directivos y cuadros intermedios expertos en gestión administrativa y financiera.",4 años
Grado en Gestión y Administración Pública,Universidad Politécnica de Valencia,0,80,Carrera Universitaria,Valencia,"Prepara a los estudiantes para desempeñar roles clave de dirección y gestión en la Administración Pública y empresas públicas. ",4 años
Grado en Gestión y Administración Pública,Universidad de Oviedo,0,75,Carrera Universitaria,Oviedo,Ofrece una formación integral en gestión pública con modalidad presencial y a distancia,4 años
Grado en Gestión y Administración Pública,Universidad Complutense de Madrid,0,85,Carrera Universitaria,Madrid,"Programa que proporciona una sólida formación en gestión pública, con enfoque en políticas públicas y administración.",4 años
Grado en Análisis de Datos en la Empresa,Universidad Autónoma de Madrid (UAM),0,85,Carrera Universitaria,Madrid,"Programa bilingüe (español/inglés) que proporciona competencias para el análisis de la información en diversas áreas de instituciones privadas o públicas. ",4 años
Grado en Business Analytics,Universidad Europea,0,80,Carrera Universitaria,Madrid,"Formación en el uso de herramientas clave para el análisis de datos, incluyendo SQL, Python y R, así como plataformas de visualización como Tableau y Power BI. ",4 años
Grado en Business Data Analytics,Mondragon Unibertsitatea,0,90,Carrera Universitaria,Arrasate-Mondragón,"Programa que forma a futuros profesionales en el ámbito de la ciencia de datos y la inteligencia artificial para dar respuesta a las necesidades empresariales.",4 años
